keyword,document_frequency,idf
adonia,1,11.2273
adonis,3,10.5342
adopt,87,7.4447
adopted,87,7.4447
adoption,87,7.4447
adoptive,87,7.4447
adopts,87,7.4447
adored,2,10.8218
adorned,3,10.5342
adornment,3,10.5342
adorns,3,10.5342
adp,1,11.2273
adrenal,2,10.8218
adrenaline,1,11.2273
adressable,1,11.2273
adresseable,1,11.2273
adrian,24,8.702
adriana,3,10.5342
adrianne,1,11.2273
adrians,24,8.702
adriatic,9,9.618
adrienne,1,11.2273
adrift,3,10.5342
ads,85,7.4676
adsl,1,11.2273
adu,1,11.2273
adult,66,7.7169
adulteress,1,11.2273
adulterous,1,11.2273
adultery,1,11.2273
adulthood,1,11.2273
adultory,1,11.2273
adults,66,7.7169
advance,20,8.8763
advanced,20,8.8763
advances,20,8.8763
advancing,20,8.8763
advantage,5,10.1288
advantages,5,10.1288
advartisement,1,11.2273
advartisment,1,11.2273
adventure,83,7.4911
adventurer,83,7.4911
adventures,83,7.4911
adventurous,83,7.4911
adverb,5,10.1288
adverbial,1,11.2273
adverse,1,11.2273
advertise,40,8.2076
advertised,40,8.2076
advertisement,40,8.2076
advertises,40,8.2076
advertising,40,8.2076
advertisment,40,8.2076
advice,11,9.4357
advise,12,9.3557
advised,12,9.3557
advisers,12,9.3557
advises,12,9.3557
advising,12,9.3557
advisor,5,10.1288
advisors,5,10.1288
advisory,1,11.2273
advocacy,2,10.8218
advocate,13,9.2816
advocated,13,9.2816
advocates,13,9.2816
advocating,13,9.2816
adze,1,11.2273
ae,1,11.2273
aegean,2,10.8218
aegian,1,11.2273
aegina,1,11.2273
aeginaea,1,11.2273
aegospotami,1,11.2273
aek,1,11.2273
aeneus,1,11.2273
aenima,2,10.8218
aeolian,1,11.2273
aeolis,2,10.8218
aeon,2,10.8218
aeons,2,10.8218
aerate,3,10.5342
aerated,3,10.5342
aerial,4,10.3111
aeriel,1,11.2273
aerin,1,11.2273
aerobatics,1,11.2273
aerobics,5,10.1288
aerodynamically,2,10.8218
aerodynamics,2,10.8218
aeronautics,3,10.5342
aeroplane,2,10.8218
aerosmith,32,8.4245
aerosmiths,32,8.4245
aerosol,1,11.2273
aerospace,1,11.2273
aeschylus,2,10.8218
aesops,1,11.2273
aeternitas,1,11.2273
afa,1,11.2273
afanc,1,11.2273
afar,1,11.2273
afc,1,11.2273
afer,1,11.2273
affair,34,8.3657
affairs,34,8.3657
affect,27,8.5887
affected,27,8.5887
affecting,27,8.5887
affection,27,8.5887
affectionate,5,10.1288
affectionately,5,10.1288
affections,27,8.5887
affects,27,8.5887
afferent,1,11.2273
affiliation,2,10.8218
affinity,1,11.2273
affirm,2,10.8218
affirming,2,10.8218
affleck,3,10.5342
afflecks,3,10.5342
afflict,5,10.1288
afflicted,5,10.1288
affliction,5,10.1288
afflictions,5,10.1288
affluent,1,11.2273
afford,1,11.2273
affrontano,1,11.2273
afghan,1,11.2273
afghani,1,11.2273
afghanistan,16,9.0875
afi,38,8.2575
aficionados,1,11.2273
afire,1,11.2273
afis,38,8.2575
afk,1,11.2273
afl,4,10.3111
aflac,1,11.2273
afloat,1,11.2273
afraid,24,8.702
africa,131,7.04
african,193,6.656
africanis,1,11.2273
africans,193,6.656
africas,131,7.04
afrikaans,3,10.5342
afrikkan,1,11.2273
afro,2,10.8218
after,879,5.1563
afterm,1,11.2273
aftermath,2,10.8218
afternoon,17,9.0304
afterwardsness,1,11.2273
afterworld,2,10.8218
ag,219,6.5307
agafonikov,1,11.2273
again,42,8.16
against,120,7.1268
agal,1,11.2273
agamemnon,3,10.5342
agar,1,11.2273
agassi,2,10.8218
agatha,33,8.3947
agathophilia,1,11.2273
agbaje,1,11.2273
age,219,6.5307
aged,219,6.5307
agencies,16,9.0875
agency,16,9.0875
agent,80,7.5274
agents,80,7.5274
ages,219,6.5307
aggies,1,11.2273
aggression,8,9.7233
aggressive,8,9.7233
aggressively,8,9.7233
aggressor,1,11.2273
agile,2,10.8218
agility,2,10.8218
aging,219,6.5307
agitated,1,11.2273
agliophobia,1,11.2273
agnes,2,10.8218
agnetha,1,11.2273
agnostic,2,10.8218
agnus,1,11.2273
ago,36,8.3102
agonist,1,11.2273
agora,1,11.2273
agoraphobia,3,10.5342
agore,1,11.2273
agra,1,11.2273
agraphobia,1,11.2273
agree,16,9.0875
agreed,16,9.0875
agreement,10,9.5227
agreements,10,9.5227
agrees,16,9.0875
agrestic,1,11.2273
agricultural,15,9.1481
agriculturalist,1,11.2273
agriculture,15,9.1481
agrigento,1,11.2273
agriozoophilia,1,11.2273
agrippa,1,11.2273
agrotera,1,11.2273
aguecheek,1,11.2273
aguilera,12,9.3557
aguileras,12,9.3557
aguinaldo,3,10.5342
aguleras,1,11.2273
agyrophobia,1,11.2273
ah,1,11.2273
ahab,6,9.9746
ahead,4,10.3111
ahimsa,1,11.2273
ahmad,1,11.2273
ahmet,1,11.2273
ahonen,1,11.2273
ahoy,1,11.2273
ahrah,1,11.2273
ahrims,1,11.2273
ahuacuatl,1,11.2273
ai,1,11.2273
aibilene,3,10.5342
aibilenes,3,10.5342
aichi,1,11.2273
aichmophobia,1,11.2273
aid,39,8.2322
aida,12,9.3557
aidas,12,9.3557
aide,39,8.2322
aided,39,8.2322
aids,39,8.2322
aiken,1,11.2273
aikman,2,10.8218
aileen,1,11.2273
ailerons,2,10.8218
ailment,6,9.9746
ailments,6,9.9746
ailsa,1,11.2273
ailurophilia,2,10.8218
ailurophobia,6,9.9746
aim,26,8.6251
aimed,26,8.6251
aiming,26,8.6251
aims,26,8.6251
ain,1,11.2273
aint,34,8.3657
ainu,1,11.2273
aipom,1,11.2273
air,285,6.2696
airag,1,11.2273
airbender,7,9.8411
airborn,3,10.5342
airborne,3,10.5342
airbus,1,11.2273
aircraft,31,8.4552
aircrafts,31,8.4552
aird,1,11.2273
aireal,285,6.2696
aired,285,6.2696
aires,285,6.2696
airing,285,6.2696
airline,37,8.2835
airliner,37,8.2835
airliners,37,8.2835
airlines,37,8.2835
airmen,2,10.8218
airplane,36,8.3102
airplanes,36,8.3102
airpods,1,11.2273
airport,32,8.4245
airports,32,8.4245
airs,285,6.2696
airship,1,11.2273
airspace,1,11.2273
airtime,1,11.2273
airwaves,70,7.659
airways,4,10.3111
airy,1,11.2273
aisha,1,11.2273
aisle,2,10.8218
aiutami,1,11.2273
aj,1,11.2273
aja,1,11.2273
ajax,3,10.5342
ajiaco,2,10.8218
ak,1,11.2273
aka,16,9.0875
akan,2,10.8218
akanes,2,10.8218
akasha,1,11.2273
akatsuki,1,11.2273
akbar,4,10.3111
akbari,1,11.2273
akc,1,11.2273
akechi,1,11.2273
akeem,5,10.1288
akhenaten,6,9.9746
akhenatens,6,9.9746
akhmatova,1,11.2273
akhmerov,1,11.2273
akiba,2,10.8218
akihito,1,11.2273
akin,2,10.8218
akinnuoye,2,10.8218
akins,2,10.8218
akira,1,11.2273
akita,1,11.2273
akiva,1,11.2273
akiyama,1,11.2273
akka,1,11.2273
akkadians,2,10.8218
akm,1,11.2273
akon,1,11.2273
akragas,1,11.2273
akroyds,1,11.2273
aksamlar,1,11.2273
akunins,1,11.2273
akush,1,11.2273
al,151,6.8993
alabama,65,7.7319
aladdin,12,9.3557
aladdins,12,9.3557
alagna,1,11.2273
alaikum,1,11.2273
alamain,1,11.2273
alamein,1,11.2273
alamo,12,9.3557
alan,60,7.8106
alana,1,11.2273
alanis,3,10.5342
alannah,5,10.1288
alans,60,7.8106
alarm,13,9.2816
alarms,13,9.2816
alaska,53,7.9324
alaskan,8,9.7233
alaskans,8,9.7233
alaskas,53,7.9324
alastor,1,11.2273
alba,3,10.5342
alban,4,10.3111
albania,9,9.618
albanian,3,10.5342
albano,3,10.5342
albans,4,10.3111
albany,5,10.1288
albatross,2,10.8218
albedo,1,11.2273
albee,2,10.8218
albemarle,2,10.8218
alben,1,11.2273
alberghetti,1,11.2273
alberona,2,10.8218
alberquerque,1,11.2273
albert,469,5.7761
alberta,3,10.5342
alberto,2,10.8218
albertosaurus,1,11.2273
albertsons,1,11.2273
albertville,1,11.2273
albigensian,1,11.2273
albinadubois,1,11.2273
albino,2,10.8218
albion,2,10.8218
albizzi,1,11.2273
alborz,1,11.2273
albrecht,4,10.3111
albrect,1,11.2273
albright,3,10.5342
album,676,5.4149
albuminurophobia,2,10.8218
albums,676,5.4149
albuquerque,1,11.2273
albus,13,9.2816
alcalde,1,11.2273
alcatraz,15,9.1481
alcatrazs,15,9.1481
alchemist,7,9.8411
alchemists,7,9.8411
alchemy,5,10.1288
alcock,1,11.2273
alcohol,61,7.7944
alcoholic,61,7.7944
alcoholism,61,7.7944
alcove,1,11.2273
alcuin,1,11.2273
alda,1,11.2273
aldaris,1,11.2273
aldean,1,11.2273
alden,3,10.5342
alder,1,11.2273
alderaan,1,11.2273
alderan,1,11.2273
aldine,1,11.2273
aldo,1,11.2273
aldous,2,10.8218
aldrich,2,10.8218
aldridge,1,11.2273
aldrin,4,10.3111
ale,151,6.8993
alec,20,8.8763
alecia,2,10.8218
alecs,20,8.8763
alegria,1,11.2273
aleichem,1,11.2273
alejandro,3,10.5342
alekfursenko,1,11.2273
alekseevich,1,11.2273
alektorophobia,3,10.5342
alektorphobic,1,11.2273
alemmani,1,11.2273
aleph,2,10.8218
aleppo,1,11.2273
alert,1,11.2273
alessandro,4,10.3111
aletheia,1,11.2273
alethiometer,2,10.8218
aletsch,1,11.2273
aleutian,2,10.8218
aleuts,1,11.2273
alex,38,8.2575
alexander,76,7.578
alexanders,76,7.578
alexandra,10,9.5227
alexandras,10,9.5227
alexandre,4,10.3111
alexandria,6,9.9746
alexandripatov,1,11.2273
alexei,4,10.3111
alexey,4,10.3111
alexi,11,9.4357
alexis,11,9.4357
alexius,1,11.2273
alexs,38,8.2575
alf,10,9.5227
alferd,1,11.2273
alfieri,2,10.8218
alfilipenko,1,11.2273
alfonso,4,10.3111
alfred,61,7.7944
alfredo,2,10.8218
alfreds,61,7.7944
alfrie,1,11.2273
alfs,10,9.5227
alfv,1,11.2273
algae,5,10.1288
algal,1,11.2273
algebra,10,9.5227
algebraic,10,9.5227
algeria,12,9.3557
algerian,4,10.3111
algiers,3,10.5342
algonquian,1,11.2273
algonquin,4,10.3111
algorism,1,11.2273
algorithm,6,9.9746
alhambra,2,10.8218
alhough,1,11.2273
ali,28,8.5536
aliana,1,11.2273
alias,6,9.9746
aliases,2,10.8218
alice,60,7.8106
alices,60,7.8106
alicia,14,9.2126
alicias,14,9.2126
alicorn,1,11.2273
alien,59,7.8271
alienating,59,7.8271
aliens,59,7.8271
aliev,1,11.2273
alighieri,3,10.5342
alighieris,3,10.5342
alight,1,11.2273
aligned,3,10.5342
alignment,3,10.5342
alike,8,9.7233
alikes,8,9.7233
alilagoa,1,11.2273
alimbics,1,11.2273
alimony,1,11.2273
alis,28,8.5536
alisha,1,11.2273
alison,2,10.8218
alistair,2,10.8218
alive,40,8.2076
aliyah,1,11.2273
alka,1,11.2273
alkaline,2,10.8218
alkalines,2,10.8218
alkalizing,1,11.2273
alkaloid,1,11.2273
alki,1,11.2273
all,1404,4.6977
alla,2,10.8218
allah,5,10.1288
allahu,1,11.2273
allama,1,11.2273
allan,35,8.3375
allang,1,11.2273
allans,35,8.3375
allbutt,1,11.2273
allegations,10,9.5227
alleged,10,9.5227
allegedly,11,9.4357
allegheny,2,10.8218
allegiance,3,10.5342
allegorical,5,10.1288
allegro,4,10.3111
allemagne,1,11.2273
allen,79,7.5398
allens,79,7.5398
alleperpate,1,11.2273
allergic,10,9.5227
allergies,5,10.1288
allergy,5,10.1288
allers,1,11.2273
alleviate,1,11.2273
alley,11,9.4357
alleys,11,9.4357
alli,64,7.7472
alliance,64,7.7472
allie,64,7.7472
allied,64,7.7472
allies,64,7.7472
alligator,6,9.9746
alligators,6,9.9746
allis,64,7.7472
allison,5,10.1288
alliumphobia,1,11.2273
allman,17,9.0304
allmans,17,9.0304
allocation,1,11.2273
allodoxaphobia,1,11.2273
allodoxiphobia,1,11.2273
allopath,1,11.2273
allosaurus,2,10.8218
allotropes,1,11.2273
allotted,1,11.2273
allow,59,7.8271
allowance,59,7.8271
allowed,59,7.8271
allowing,59,7.8271
allows,59,7.8271
alloy,3,10.5342
alloys,3,10.5342
allred,1,11.2273
allspark,1,11.2273
alluring,1,11.2273
ally,64,7.7472
alma,5,10.1288
almamater,1,11.2273
almaty,1,11.2273
almighty,10,9.5227
almod,1,11.2273
almond,4,10.3111
almonds,4,10.3111
almorzar,1,11.2273
almost,100,7.3071
almourol,1,11.2273
alocasia,1,11.2273
alofa,1,11.2273
alofi,1,11.2273
alohomora,1,11.2273
alois,2,10.8218
alone,29,8.5197
along,68,7.6875
alongside,47,8.0501
alonissos,1,11.2273
alonzo,2,10.8218
aloof,1,11.2273
alopecia,2,10.8218
alot,2,10.8218
alou,3,10.5342
aloud,1,11.2273
alouette,1,11.2273
alous,3,10.5342
alovat,1,11.2273
alpbach,1,11.2273
alpha,7,9.8411
alphabet,25,8.6628
alphabetical,25,8.6628
alphabetically,25,8.6628
alphaville,1,11.2273
alphie,1,11.2273
alphonse,2,10.8218
alphonsina,1,11.2273
alpine,8,9.7233
alps,9,9.618
already,14,9.2126
alright,7,9.8411
als,151,6.8993
alsace,2,10.8218
also,458,5.7996
alston,1,11.2273
alt,1,11.2273
alta,2,10.8218
altai,1,11.2273
altair,1,11.2273
altalena,1,11.2273
altamirano,1,11.2273
altamont,1,11.2273
altar,4,10.3111
alter,17,9.0304
altered,17,9.0304
altering,17,9.0304
alternate,61,7.7944
alternately,61,7.7944
alternating,61,7.7944
alternative,61,7.7944
alternatively,61,7.7944
alternatives,61,7.7944
alternifolia,1,11.2273
althorp,2,10.8218
although,131,7.04
alti,1,11.2273
altitude,6,9.9746
altitudes,6,9.9746
altius,1,11.2273
altman,10,9.5227
altmans,10,9.5227
alto,4,10.3111
altogether,6,9.9746
alton,1,11.2273
altoona,1,11.2273
altum,2,10.8218
alu,1,11.2273
aluinn,1,11.2273
aluminium,1,11.2273
aluminum,5,10.1288
alumnae,2,10.8218
alumni,1,11.2273
alumnus,1,11.2273
alundra,1,11.2273
alva,1,11.2273
alvares,1,11.2273
alvarez,1,11.2273
alvere,1,11.2273
alvin,12,9.3557
alvins,12,9.3557
alvis,3,10.5342
alvord,1,11.2273
alvy,3,10.5342
always,169,6.7877
alyn,1,11.2273
alyson,1,11.2273
alyssa,4,10.3111
alzette,1,11.2273
alzheimers,1,11.2273
ama,2,10.8218
amadeus,8,9.7233
amalthea,1,11.2273
amanda,17,9.0304
amandas,17,9.0304
amandine,1,11.2273
amaranth,1,11.2273
amaretto,1,11.2273
amarillo,2,10.8218
amarok,1,11.2273
amaru,1,11.2273
amarula,1,11.2273
amas,2,10.8218
amasi,1,11.2273
amass,3,10.5342
amassed,3,10.5342
amateur,14,9.2126
amateurs,14,9.2126
amathophobia,2,10.8218
amazake,1,11.2273
amazed,33,8.3947
amazing,33,8.3947
amazingly,3,10.5342
amazon,21,8.8298
ambassador,11,9.4357
ambassadors,11,9.4357
amber,16,9.0875
ambergris,1,11.2273
amberol,1,11.2273
ambersons,1,11.2273
ambidextrous,1,11.2273
ambien,1,11.2273
ambiguous,2,10.8218
ambition,2,10.8218
ambitious,5,10.1288
amblin,1,11.2273
amblyomma,1,11.2273
amboy,3,10.5342
ambrose,9,9.618
ambrosia,1,11.2273
ambulance,1,11.2273
ambulophilia,1,11.2273
ambush,1,11.2273
amc,1,11.2273
amd,1,11.2273
amelia,10,9.5227
amelie,2,10.8218
amen,4,10.3111
amend,35,8.3375
amended,35,8.3375
amending,35,8.3375
amendment,35,8.3375
amendments,35,8.3375
amenhotep,1,11.2273
ament,1,11.2273
america,320,6.1547
americain,1,11.2273
american,1180,4.8674
americana,2,10.8218
americanized,1180,4.8674
americano,1,11.2273
americans,1180,4.8674
americas,320,6.1547
americium,2,10.8218
amerigo,13,9.2816
amerika,1,11.2273
ameritech,1,11.2273
amersfort,1,11.2273
ames,1,11.2273
amesbury,1,11.2273
amethyst,4,10.3111
amharic,2,10.8218
amherst,1,11.2273
amid,1,11.2273
amidala,2,10.8218
amidst,4,10.3111
amie,48,8.0295
amiens,2,10.8218
amies,48,8.0295
amigo,1,11.2273
amin,15,9.1481
amino,4,10.3111
amins,15,9.1481
amiri,1,11.2273
amish,1,11.2273
amistad,1,11.2273
amitabha,1,11.2273
amitri,1,11.2273
amityville,2,10.8218
amman,3,10.5342
ammelide,1,11.2273
ammeline,1,11.2273
ammo,2,10.8218
ammonia,1,11.2273
ammonite,6,9.9746
ammonites,6,9.9746
ammonium,2,10.8218
ammunition,1,11.2273
amn,2,10.8218
amneris,1,11.2273
amnesia,3,10.5342
amnesiac,2,10.8218
amniote,1,11.2273
amo,11,9.4357
amok,1,11.2273
amonasro,1,11.2273
among,135,7.0102
amongst,4,10.3111
amontillado,1,11.2273
amor,1,11.2273
amoretti,1,11.2273
amoris,1,11.2273
amos,11,9.4357
amount,45,8.0926
amounts,45,8.0926
amour,3,10.5342
amoxicillin,1,11.2273
amp,2,10.8218
amparito,1,11.2273
ampere,1,11.2273
amphetamine,1,11.2273
amphibia,1,11.2273
amphibian,18,8.9763
amphibians,18,8.9763
amphibios,1,11.2273
amphibious,4,10.3111
amphicoelias,2,10.8218
amphitheatre,2,10.8218
amphitrite,1,11.2273
amplification,1,11.2273
amplified,3,10.5342
amplify,3,10.5342
amplitude,2,10.8218
amputating,2,10.8218
amputation,2,10.8218
amrican,1,11.2273
amstel,1,11.2273
amsterdam,16,9.0875
amulet,2,10.8218
amulets,2,10.8218
amun,1,11.2273
amundsen,6,9.9746
amur,2,10.8218
amusement,9,9.618
amusing,9,9.618
amy,48,8.0295
amyotrophic,1,11.2273
anabolic,1,11.2273
anacardic,1,11.2273
anaconda,1,11.2273
anaerobic,1,11.2273
anagolay,1,11.2273
anaheim,2,10.8218
anaimudi,1,11.2273
anais,1,11.2273
anakin,8,9.7233
anal,1,11.2273
analgesic,1,11.2273
analog,4,10.3111
analogy,4,10.3111
analysis,5,10.1288
analytic,6,9.9746
analytical,6,9.9746
analyze,3,10.5342
analyzed,3,10.5342
anamnesis,1,11.2273
ananas,1,11.2273
anandymene,1,11.2273
ananke,1,11.2273
anarchism,3,10.5342
anarcho,1,11.2273
anasazi,1,11.2273
anastacia,2,10.8218
anastasia,6,9.9746
